Species,Morph,Site,Latitude,Longitude,Toe ID,DNA ID,Call ID,Temperature,Mass,SVL,Dominant frequency,Number of pulses,Note length,Pulse rate,DF.TEMP,PR.TEMP,NL.TEMP,AIFM1_SNP
R. imitator,Striped,Achinamisa,-6.47182,-75.90982,28,ACH1,ZOOM0119,27.1,0.38,17.5,5311.523333,20.55555556,0.536883333,38.31453933,5490.863333,35.13513933,0.655533333,T
R. imitator,Striped,Achinamisa,-6.47182,-75.90982,27,ACH2,ZOOM0115,27.1,0.44,18.96,5153.6135,26.08333333,0.715483333,36.46311506,5332.9535,33.28371506,0.834133333,T
R. imitator,Striped,Achinamisa,-6.47182,-75.90982,100,ACH3,ZOOM0093,25,0.46,19,4995.535714,19.67857143,0.545646429,36.13140034,4995.535714,36.13140034,0.545646429,T
R. imitator,Striped,Achinamisa,-6.47182,-75.90982,102,ACH4,ZOOM0097,25,0.42,17.7,5162.946429,23.57142857,0.61315,38.35975259,5162.946429,38.35975259,0.61315,T
R. imitator,Striped,Achinamisa,-6.47182,-75.90982,105,ACH5,ZOOM0103,25,0.48,16.8,4846.590909,25.60606061,0.608042424,42.15310755,4846.590909,42.15310755,0.608042424,T
R. imitator,Striped,Achinamisa,-6.47182,-75.90982,104,ACH6,ZOOM0102,25,0.4,16.2,4950,24.4,0.68843,35.46692864,4950,35.46692864,0.68843,T
R. imitator,Striped,Achinamisa,-6.47182,-75.90982,107,ACH7,ZOOM0111,25,0.54,17.8,5421.875,26.5,0.742416667,35.8433382,5421.875,35.8433382,0.742416667,T
R. imitator,Intermediate,Callanayacu,-6.58788,-75.91766,15,CAL1,ZOOM0081,26.7,0.42,17.88,5366.074,29.7,0.76814,38.64920929,5511.254,36.07540929,0.86419,Y
R. imitator,Intermediate,Callanayacu,-6.58788,-75.91766,18,CAL2,ZOOM0086,26.7,0.62,19.8,5314.917412,21.35294118,0.608223529,35.1906628,5460.097412,32.6168628,0.704273529,T
R. imitator,Intermediate,Callanayacu,-6.58788,-75.91766,91,CAL3,ZOOM0075,24.1,0.46,17.17,5128.90625,33.79166667,0.919620833,36.77867409,5052.04625,38.14127409,0.868770833,Y
R. imitator,Intermediate,Callanayacu,-6.58788,-75.91766,92,CAL4,ZOOM0076,24.1,0.44,19.8,5359.375,41.25,1.089008333,37.86756771,5282.515,39.23016771,1.038158333,T
R. imitator,Intermediate,Callanayacu,-6.58788,-75.91766,93,CAL5,ZOOM0077,24.1,0.48,17.51,5178.571429,28.19047619,0.730557143,38.59469723,5101.711429,39.95729723,0.679707143,C
R. imitator,Intermediate,Callanayacu,-6.58788,-75.91766,94,CAL6,ZOOM0080,24.1,0.44,17.46,5394.230769,31.07692308,0.852569231,36.66798236,5317.370769,38.03058236,0.801719231,Y
R. imitator,Intermediate,Callanayacu,-6.58788,-75.91766,95,CAL7,ZOOM0086,24.1,0.44,15.65,5559.782609,22.08695652,0.63776087,34.8396168,5482.922609,36.2022168,0.58691087,T
R. imitator,Intermediate,Chazuta,-6.5446,-76.11216,74,CHZ1,ZOOM0307,25.7,0.44,17.1,5086.14265,27.1,0.750155,36.11342348,5145.92265,35.05362348,0.789705,T
R. imitator,Intermediate,Chazuta,-6.5446,-76.11216,76,CHZ2,ZOOM0317,25.7,0.56,17.6,5489.009273,26.54545455,0.703963636,37.76425969,5548.789273,36.70445969,0.743513636,T
R. imitator,Intermediate,Chazuta,-6.5446,-76.11216,77,CHZ3,ZOOM0319,25.7,0.5,17.2,4963.403375,30,0.8296875,36.15787818,5023.183375,35.09807818,0.8692375,T
R. imitator,Intermediate,Chazuta,-6.5446,-76.11216,78,CHZ4,"ZOOM0320,321,322",25.7,0.54,17.1,5291.015714,20,0.5413,36.95162572,5350.795714,35.89182572,0.58085,T
R. imitator,Intermediate,Chazuta,-6.5446,-76.11216,79,CHZ5,ZOOM0331,25.7,0.62,19.1,5163.183833,20.72222222,0.547088889,37.90591119,5222.963833,36.84611119,0.586638889,T
R. imitator,Intermediate,Chazuta,-6.5446,-76.11216,80,CHZ6,ZOOM0344,25.7,0.5,16.4,5650.3128,24.6,0.62518,39.45909431,5710.0928,38.39929431,0.66473,T
R. imitator,Intermediate,Chazuta,-6.5446,-76.11216,83,CHZ7,"ZOOM0341,343",25.7,0.62,19.2,5303.320286,20.85714286,0.584242857,35.76763309,5363.100286,34.70783309,0.623792857,T
R. imitator,Intermediate,Chipesa,-6.57209,-75.96554,6,CPS1,ZOOM0051,26.7,0.54,17.84,4878.249273,24.27272727,0.715245455,34.03572252,5023.429273,33.95537791,1.0707625,Y
R. imitator,Intermediate,Chipesa,-6.57209,-75.96554,11,CPS2,ZOOM0061,26.7,0.54,17.91,4938.290333,26.66666667,0.750633333,35.50597519,5083.470333,35.09995587,0.9474,T
R. imitator,Intermediate,Chipesa,-6.57209,-75.96554,12,CPS3,ZOOM0062,26.7,0.54,17.89,5412.011667,24,0.687516667,34.95678829,5557.191667,35.83527343,0.7749,T
R. imitator,Intermediate,Chipesa,-6.57209,-75.96554,64,CPS4,ZOOM0257,25.7,0.52,17.9,5106.445429,30,0.842357143,35.69129468,5166.225429,33.70622519,1.197225,C
R. imitator,Intermediate,Chipesa,-6.57209,-75.96554,65,CPS5,ZOOM0267,25.7,0.6,18.2,5033.984333,49,1.295688889,37.83642356,5093.764333,36.21306233,1.066633333,Y
R. imitator,Intermediate,Chipesa,-6.57209,-75.96554,66,CPS6,ZOOM0269,25.7,0.58,18.3,4897.689862,29.72413793,0.724251724,41.05691894,4957.469862,38.86826433,0.874688235,Y
